"Freq [MHz]","Gap [mm]","k1 []","I1 [A]","SolidLoss [W]"
1,0.3,0,2.5,0.7023977276
1,0.3,0,2.6,0.7597133822
1,0.3,0,2.8,0.8810877095
1,0.3,0,3,1.011452728
1,0.3,0,3.2,1.150808437
1,0.3,0,3.4,1.299154837
1,0.3,0,3.6,1.456491928
1,0.3,0,3.8,1.62281971
1,0.3,0,4,1.798138183
1,0.3,0,4.2,1.982447346
1,0.3,0,4.4,2.175747201
1,0.3,0,4.6,2.378037747
1,0.3,0,4.8,2.589318983
1,0.3,0,5,2.809590911
1,0.3,0.6666666666666,0.2,0.002375804846
1,0.3,0.6666666666666,0.25,0.003712195072
1,0.3,0.6666666666666,0.3,0.005345560904
1,0.3,0.6666666666666,0.35,0.007275902342
1,0.3,0.6666666666666,0.4,0.009503219385
1,0.3,0.6666666666666,0.45,0.01202751203
1,0.3,0.6666666666666,0.5,0.01484878029
1,0.3,0.6666666666666,0.55,0.01796702415
1,0.3,0.6666666666666,0.6,0.02138224362
1,0.3,0.6666666666666,0.65,0.02509443869
1,0.3,0.6666666666666,0.7,0.02910360937
1,0.3,0.6666666666666,0.75,0.03340975565
1,0.3,0.6666666666666,0.8,0.03801287754
1,0.3,0.6666666666666,0.85,0.04291297504
1,0.3,0.6666666666666,0.9,0.04811004814
1,0.3,0.6666666666666,0.95,0.05360409684
1,0.3,0.6666666666666,1,0.05939512116
1,0.3,0.6666666666666,1.05,0.06548312108
1,0.3,0.6666666666666,1.1,0.0718680966
1,0.3,0.6666666666666,1.15,0.07855004773
1,0.3,0.6666666666666,1.2,0.08552897447
1,0.3,0.6666666666666,1.25,0.09280487681
1,0.3,0.6666666666666,1.3,0.1003777548
1,0.3,0.6666666666666,1.35,0.1082476083
1,0.3,0.6666666666666,1.4,0.1164144375
1,0.3,0.6666666666666,1.45,0.1248782422
1,0.3,0.6666666666666,1.5,0.1336390226
1,0.3,0.6666666666666,1.55,0.1426967786
1,0.3,0.6666666666666,1.6,0.1520515102
1,0.3,0.6666666666666,1.65,0.1617032173
1,0.3,0.6666666666666,1.7,0.1716519001
1,0.3,0.6666666666666,1.75,0.1818975585
1,0.3,0.6666666666666,1.8,0.1924401925
1,0.3,0.6666666666666,1.85,0.2032798022
1,0.3,0.6666666666666,1.9,0.2144163874
1,0.3,0.6666666666666,1.95,0.2258499482
1,0.3,0.6666666666666,2,0.2375804846
1,0.3,0.6666666666666,2.05,0.2496079967
1,0.3,0.6666666666666,2.1,0.2619324843
1,0.3,0.6666666666666,2.15,0.2745539476
1,0.3,0.6666666666666,2.2,0.2874723864
1,0.3,0.6666666666666,2.25,0.3006878009
1,0.3,0.6666666666666,2.3,0.3142001909
1,0.3,0.6666666666666,2.35,0.3280095566
1,0.3,0.6666666666666,2.4,0.3421158979
1,0.3,0.6666666666666,2.45,0.3565192147
1,0.3,0.6666666666666,2.5,0.3712195072
1,0.3,0.6666666666666,2.6,0.401511019
1,0.3,0.6666666666666,2.8,0.4656577499
1,0.3,0.6666666666666,3,0.5345560904
1,0.3,0.6666666666666,3.2,0.6082060406
1,0.3,0.6666666666666,3.4,0.6866076006
1,0.3,0.6666666666666,3.6,0.7697607702
1,0.3,0.6666666666666,3.8,0.8576655495
1,0.3,0.6666666666666,4,0.9503219385
1,0.3,0.6666666666666,4.2,1.047729937
1,0.3,0.6666666666666,4.4,1.149889546
1,0.3,0.6666666666666,4.6,1.256800764
1,0.3,0.6666666666666,4.8,1.368463591
1,0.3,0.6666666666666,5,1.484878029
1,0.3,1,0.2,0.003134732724
1,0.3,1,0.25,0.004898019881
1,0.3,1,0.3,0.007053148629
1,0.3,1,0.35,0.009600118967
1,0.3,1,0.4,0.0125389309
1,0.3,1,0.45,0.01586958442
1,0.3,1,0.5,0.01959207953
1,0.3,1,0.55,0.02370641623
1,0.3,1,0.6,0.02821259452
1,0.3,1,0.65,0.0331106144
1,0.3,1,0.7,0.03840047587
1,0.3,1,0.75,0.04408217893
1,0.3,1,0.8,0.05015572358
1,0.3,1,0.85,0.05662110983
1,0.3,1,0.9,0.06347833766
1,0.3,1,0.95,0.07072740708
1,0.3,1,1,0.0783683181
1,0.3,1,1.05,0.08640107071
1,0.3,1,1.1,0.0948256649
1,0.3,1,1.15,0.1036421007
1,0.3,1,1.2,0.1128503781
1,0.3,1,1.25,0.122450497
1,0.3,1,1.3,0.1324424576
1,0.3,1,1.35,0.1428262597
1,0.3,1,1.4,0.1536019035
1,0.3,1,1.45,0.1647693888
1,0.3,1,1.5,0.1763287157
1,0.3,1,1.55,0.1882798842
1,0.3,1,1.6,0.2006228943
1,0.3,1,1.65,0.213357746
1,0.3,1,1.7,0.2264844393
1,0.3,1,1.75,0.2400029742
1,0.3,1,1.8,0.2539133506
1,0.3,1,1.85,0.2682155687
1,0.3,1,1.9,0.2829096283
1,0.3,1,1.95,0.2979955296
1,0.3,1,2,0.3134732724
1,0.3,1,2.05,0.3293428568
1,0.3,1,2.1,0.3456042828
1,0.3,1,2.15,0.3622575504
1,0.3,1,2.2,0.3793026596
1,0.3,1,2.25,0.3967396104
1,0.3,1,2.3,0.4145684027
1,0.3,1,2.35,0.4327890367
1,0.3,1,2.4,0.4514015122
1,0.3,1,2.45,0.4704058294
1,0.3,1,2.5,0.4898019881
1,0.3,1,2.6,0.5297698303
1,0.3,1,2.8,0.6144076139
1,0.3,1,3,0.7053148629
1,0.3,1,3.2,0.8024915773
1,0.3,1,3.4,0.9059377572
1,0.3,1,3.6,1.015653403
1,0.3,1,3.8,1.131638513
1,0.3,1,4,1.25389309
1,0.3,1,4.2,1.382417131
1,0.3,1,4.4,1.517210638
1,0.3,1,4.6,1.658273611
1,0.3,1,4.8,1.805606049
1,0.3,1,5,1.959207952
1,0.4,0,0.2,0.0044671695
1,0.4,0,0.25,0.006979952344
1,0.4,0,0.3,0.01005113137
1,0.4,0,0.35,0.01368070659
1,0.4,0,0.4,0.017868678
1,0.4,0,0.45,0.02261504559
1,0.4,0,0.5,0.02791980937
1,0.4,0,0.55,0.03378296934
1,0.4,0,0.6,0.0402045255
1,0.4,0,0.65,0.04718447784
1,0.4,0,0.7,0.05472282637
1,0.4,0,0.75,0.06281957109
1,0.4,0,0.8,0.071474712
1,0.4,0,0.85,0.08068824909
1,0.4,0,0.9,0.09046018237
1,0.4,0,0.95,0.1007905118
1,0.4,0,1,0.1116792375
1,0.4,0,1.05,0.1231263593
1,0.4,0,1.1,0.1351318774
1,0.4,0,1.15,0.1476957916
1,0.4,0,1.2,0.160818102
1,0.4,0,1.25,0.1744988086
1,0.4,0,1.3,0.1887379114
1,0.4,0,1.35,0.2035354103
1,0.4,0,1.4,0.2188913055
1,0.4,0,1.45,0.2348055968
1,0.4,0,1.5,0.2512782844
1,0.4,0,1.55,0.2683093681
1,0.4,0,1.6,0.285898848
1,0.4,0,1.65,0.3040467241
1,0.4,0,1.7,0.3227529964
1,0.4,0,1.75,0.3420176648
1,0.4,0,1.8,0.3618407295
1,0.4,0,1.85,0.3822221903
1,0.4,0,1.9,0.4031620474
1,0.4,0,1.95,0.4246603006
1,0.4,0,2,0.44671695
1,0.4,0,2.05,0.4693319956
1,0.4,0,2.1,0.4925054374
1,0.4,0,2.15,0.5162372753
1,0.4,0,2.2,0.5405275095
1,0.4,0,2.25,0.5653761398
1,0.4,0,2.3,0.5907831664
1,0.4,0,2.35,0.6167485891
1,0.4,0,2.4,0.643272408
1,0.4,0,2.45,0.6703546231
1,0.4,0,2.5,0.6979952344
1,0.4,0,2.6,0.7549516455
1,0.4,0,2.8,0.875565222
1,0.4,0,3,1.005113137
1,0.4,0,3.2,1.143595392
1,0.4,0,3.4,1.291011985
1,0.4,0,3.6,1.447362918
1,0.4,0,3.8,1.612648189
1,0.4,0,4,1.7868678
1,0.4,0,4.2,1.970021749
1,0.4,0,4.4,2.162110038
1,0.4,0,4.6,2.363132665
1,0.4,0,4.8,2.573089632
1,0.4,0,5,2.791980937
1,0.4,0.6666666666666,0.2,0.002352143084
1,0.4,0.6666666666666,0.25,0.003675223569
1,0.4,0.6666666666666,0.3,0.005292321939
1,0.4,0.6666666666666,0.35,0.007203438195
1,0.4,0.6666666666666,0.4,0.009408572336
1,0.4,0.6666666666666,0.45,0.01190772436
1,0.4,0.6666666666666,0.5,0.01470089428
1,0.4,0.6666666666666,0.55,0.01778808207
1,0.4,0.6666666666666,0.6,0.02116928776
1,0.4,0.6666666666666,0.65,0.02484451132
1,0.4,0.6666666666666,0.7,0.02881375278
1,0.4,0.6666666666666,0.75,0.03307701212
1,0.4,0.6666666666666,0.8,0.03763428934
1,0.4,0.6666666666666,0.85,0.04248558446
1,0.4,0.6666666666666,0.9,0.04763089745
1,0.4,0.6666666666666,0.95,0.05307022833
1,0.4,0.6666666666666,1,0.0588035771
1,0.4,0.6666666666666,1.05,0.06483094375
1,0.4,0.6666666666666,1.1,0.07115232829
1,0.4,0.6666666666666,1.15,0.07776773072
1,0.4,0.6666666666666,1.2,0.08467715103
1,0.4,0.6666666666666,1.25,0.09188058922
1,0.4,0.6666666666666,1.3,0.0993780453
1,0.4,0.6666666666666,1.35,0.1071695193
1,0.4,0.6666666666666,1.4,0.1152550111
1,0.4,0.6666666666666,1.45,0.1236345209
1,0.4,0.6666666666666,1.5,0.1323080485
1,0.4,0.6666666666666,1.55,0.141275594
1,0.4,0.6666666666666,1.6,0.1505371574
1,0.4,0.6666666666666,1.65,0.1600927387
1,0.4,0.6666666666666,1.7,0.1699423378
1,0.4,0.6666666666666,1.75,0.1800859549
1,0.4,0.6666666666666,1.8,0.1905235898
1,0.4,0.6666666666666,1.85,0.2012552426
1,0.4,0.6666666666666,1.9,0.2122809133
1,0.4,0.6666666666666,1.95,0.2236006019
1,0.4,0.6666666666666,2,0.2352143084
1,0.4,0.6666666666666,2.05,0.2471220328
1,0.4,0.6666666666666,2.1,0.259323775
1,0.4,0.6666666666666,2.15,0.2718195351
1,0.4,0.6666666666666,2.2,0.2846093132
1,0.4,0.6666666666666,2.25,0.2976931091
1,0.4,0.6666666666666,2.3,0.3110709229
1,0.4,0.6666666666666,2.35,0.3247427545
1,0.4,0.6666666666666,2.4,0.3387086041
1,0.4,0.6666666666666,2.45,0.3529684716
1,0.4,0.6666666666666,2.5,0.3675223569
1,0.4,0.6666666666666,2.6,0.3975121812
1,0.4,0.6666666666666,2.8,0.4610200445
1,0.4,0.6666666666666,3,0.5292321939
1,0.4,0.6666666666666,3.2,0.6021486295
1,0.4,0.6666666666666,3.4,0.6797693513
1,0.4,0.6666666666666,3.6,0.7620943592
