"Freq [MHz]","Gap [mm]","k1 []","I1 [A]","CoreLoss+SolidLoss [W]"
1,0.3,1,0.75,0.05218919893
1,0.3,1,0.8,0.05963683358
1,0.3,1,0.85,0.06760440983
1,0.3,1,0.9,0.07609533766
1,0.3,1,0.95,0.08511270708
1,0.3,1,1,0.0946599181
1,0.3,1,1.05,0.10473977071
1,0.3,1,1.1,0.1153552649
1,0.3,1,1.15,0.1265094007
1,0.3,1,1.2,0.1382049781
1,0.3,1,1.25,0.150444597
1,0.3,1,1.3,0.1632310576
1,0.3,1,1.35,0.1765668597
1,0.3,1,1.4,0.1904546035
1,0.3,1,1.45,0.2048968888
1,0.3,1,1.5,0.2198960157
1,0.3,1,1.55,0.2354543842
1,0.3,1,1.6,0.2515744943
1,0.3,1,1.65,0.268258546
1,0.3,1,1.7,0.2855089393
1,0.3,1,1.75,0.3033276742
1,0.3,1,1.8,0.3217171506
1,0.3,1,1.85,0.3406794687
1,0.3,1,1.9,0.3602167283
1,0.3,1,1.95,0.3803309296
1,0.3,1,2,0.4010243724
1,0.3,1,2.05,0.4222989568
1,0.3,1,2.1,0.4441565828
1,0.3,1,2.15,0.4665995504
1,0.3,1,2.2,0.4896296596
1,0.3,1,2.25,0.5132486104
1,0.3,1,2.3,0.5374574027
1,0.3,1,2.35,0.5622600367
1,0.3,1,2.4,0.5876575122
1,0.3,1,2.45,0.6136508294
1,0.3,1,2.5,0.6402429881
1,0.3,1,2.6,0.6952278303
1,0.3,1,2.8,0.8124546139
1,0.3,1,3,0.9394458629
1,0.3,1,3.2,1.0763065773
1,0.3,1,3.4,1.2231357572
1,0.3,1,3.6,1.380031403
1,0.3,1,3.8,1.547087513
1,0.3,1,4,1.72439409
1,0.3,1,4.2,1.912039131
1,0.3,1,4.4,2.110107638
1,0.3,1,4.6,2.318683611
1,0.3,1,4.8,2.537847049
1,0.3,1,5,2.767677952
1,0.4,0,0.2,0.0046599485
1,0.4,0,0.25,0.007311207344
1,0.4,0,0.3,0.01056666437
1,0.4,0,0.35,0.01443002959
1,0.4,0,0.4,0.018904668
1,0.4,0,0.45,0.02399369559
1,0.4,0,0.5,0.02969997937
1,0.4,0,0.55,0.03602622934
1,0.4,0,0.6,0.0429750055
1,0.4,0,0.65,0.05054872784
1,0.4,0,0.7,0.05874969637
1,0.4,0,0.75,0.06758014109
1,0.4,0,0.8,0.077042162
1,0.4,0,0.85,0.08713780909
1,0.4,0,0.9,0.09786906237
1,0.4,0,0.95,0.1092378018
1,0.4,0,1,0.1212458875
1,0.4,0,1.05,0.1338950593
1,0.4,0,1.1,0.1471871774
1,0.4,0,1.15,0.1611238916
1,0.4,0,1.2,0.175706702
1,0.4,0,1.25,0.1909374086
1,0.4,0,1.3,0.2068174114
1,0.4,0,1.35,0.2233484103
1,0.4,0,1.4,0.2405318055
1,0.4,0,1.45,0.2583689968
1,0.4,0,1.5,0.2768615844
1,0.4,0,1.55,0.2960109681
1,0.4,0,1.6,0.315818448
1,0.4,0,1.65,0.3362853241
1,0.4,0,1.7,0.3574129964
1,0.4,0,1.75,0.3792028648
1,0.4,0,1.8,0.4016561295
1,0.4,0,1.85,0.4247740903
1,0.4,0,1.9,0.4485579474
1,0.4,0,1.95,0.4730089006
1,0.4,0,2,0.49812825
1,0.4,0,2.05,0.5239171956
1,0.4,0,2.1,0.5503768374
1,0.4,0,2.15,0.5775083753
1,0.4,0,2.2,0.6053129095
1,0.4,0,2.25,0.6337916398
1,0.4,0,2.3,0.6629456664
1,0.4,0,2.35,0.6927760891
1,0.4,0,2.4,0.723283908
1,0.4,0,2.45,0.7544703231
1,0.4,0,2.5,0.7863362344
1,0.4,0,2.6,0.8521111455
1,0.4,0,2.8,0.991861222
1,0.4,0,3,1.142598137
1,0.4,0,3.2,1.304383392
1,0.4,0,3.4,1.477275985
1,0.4,0,3.6,1.661331918
1,0.4,0,3.8,1.856606189
1,0.4,0,4,2.0631528
1,0.4,0,4.2,2.281023749
1,0.4,0,4.4,2.510268038
1,0.4,0,4.6,2.750934665
1,0.4,0,4.8,3.003072632
1,0.4,0,5,3.266726937
1,0.4,0.6666666666666,0.2,0.002544730084
1,0.4,0.6666666666666,0.25,0.004006150569
1,0.4,0.6666666666666,0.3,0.005807343939
1,0.4,0.6666666666666,0.35,0.007952018195
1,0.4,0.6666666666666,0.4,0.010443542336
1,0.4,0.6666666666666,0.45,0.01328500436
1,0.4,0.6666666666666,0.5,0.01647929428
1,0.4,0.6666666666666,0.55,0.02002912207
1,0.4,0.6666666666666,0.6,0.02393701776
1,0.4,0.6666666666666,0.65,0.02820542132
1,0.4,0.6666666666666,0.7,0.03283663278
1,0.4,0.6666666666666,0.75,0.03783286212
1,0.4,0.6666666666666,0.8,0.04319621934
1,0.4,0.6666666666666,0.85,0.04892875446
1,0.4,0.6666666666666,0.9,0.05503242745
1,0.4,0.6666666666666,0.95,0.06150914833
1,0.4,0.6666666666666,1,0.0683607471
1,0.4,0.6666666666666,1.05,0.07558904375
1,0.4,0.6666666666666,1.1,0.08319572829
1,0.4,0.6666666666666,1.15,0.09118243072
1,0.4,0.6666666666666,1.2,0.09955095103
1,0.4,0.6666666666666,1.25,0.10830288922
1,0.4,0.6666666666666,1.3,0.1174396453
1,0.4,0.6666666666666,1.35,0.1269628193
1,0.4,0.6666666666666,1.4,0.1368740111
1,0.4,0.6666666666666,1.45,0.1471746209
1,0.4,0.6666666666666,1.5,0.1578660485
1,0.4,0.6666666666666,1.55,0.168949694
1,0.4,0.6666666666666,1.6,0.1804270574
1,0.4,0.6666666666666,1.65,0.1922993387
1,0.4,0.6666666666666,1.7,0.2045680378
1,0.4,0.6666666666666,1.75,0.2172342549
1,0.4,0.6666666666666,1.8,0.2302994898
1,0.4,0.6666666666666,1.85,0.2437649426
1,0.4,0.6666666666666,1.9,0.2576318133
1,0.4,0.6666666666666,1.95,0.2719013019
1,0.4,0.6666666666666,2,0.2865747084
1,0.4,0.6666666666666,2.05,0.3016531328
1,0.4,0.6666666666666,2.1,0.317137775
1,0.4,0.6666666666666,2.15,0.3330299351
1,0.4,0.6666666666666,2.2,0.3493305132
1,0.4,0.6666666666666,2.25,0.3660408091
1,0.4,0.6666666666666,2.3,0.3831619229
1,0.4,0.6666666666666,2.35,0.4006948545
1,0.4,0.6666666666666,2.4,0.4186408041
1,0.4,0.6666666666666,2.45,0.4370007716
1,0.4,0.6666666666666,2.5,0.4557757569
1,0.4,0.6666666666666,2.6,0.4945753812
1,0.4,0.6666666666666,2.8,0.5772010445
1,0.4,0.6666666666666,3,0.6665811939
1,0.4,0.6666666666666,3.2,0.7627776295
1,0.4,0.6666666666666,3.4,0.8658483513
1,0.4,0.6666666666666,3.6,0.9758503592
1,0.4,0.6666666666666,3.8,1.0928396533
1,0.4,0.6666666666666,4,1.2168682336
1,0.4,0.6666666666666,4.2,1.3479881
1,0.4,0.6666666666666,4.4,1.486250253
1,0.4,0.6666666666666,4.6,1.631701691
1,0.4,0.6666666666666,4.8,1.784391416
1,0.4,0.6666666666666,5,1.944364428
1,0.4,1,0.2,0.003307125724
1,0.4,1,0.25,0.005197379382
1,0.4,1,0.3,0.00752269563
1,0.4,1,0.35,0.010286780468
1,0.4,1,0.4,0.0134929949
1,0.4,1,0.45,0.01714444792
1,0.4,1,0.5,0.02124399953
1,0.4,1,0.55,0.02579436973
1,0.4,1,0.6,0.03079809852
1,0.4,1,0.65,0.0362576059
1,0.4,1,0.7,0.04217520187
1,0.4,1,0.75,0.04855308644
1,0.4,1,0.8,0.05539338959
1,0.4,1,0.85,0.06269814133
1,0.4,1,0.9,0.07046930167
1,0.4,1,0.95,0.07870878059
1,0.4,1,1,0.08741841811
1,0.4,1,1.05,0.09659995421
1,0.4,1,1.1,0.10625521891
1,0.4,1,1.15,0.1163859122
1,0.4,1,1.2,0.1269935341
1,0.4,1,1.25,0.1380797845
1,0.4,1,1.3,0.1496461636
1,0.4,1,1.35,0.1616943713
1,0.4,1,1.4,0.1742257075
1,0.4,1,1.45,0.1872417723
1,0.4,1,1.5,0.2007438657
1,0.4,1,1.55,0.2147335878
